platform,day_of_week,post_hour,post_type,media_type,num_hashtags,mentions_count,has_call_to_action,call_to_action_type,content_topic,sentiment_tone,caption_length,features_resident_story,campaign_name,is_boosted,boost_budget_php,impressions,reach,likes,comments,shares,saves,click_throughs,video_views,engagement_rate,profile_visits,donation_referrals,estimated_donation_value_php,follower_count_at_post,watch_time_seconds,avg_view_duration_seconds,subscriber_count_at_post,forwards,post_month,post_is_weekend,confirmed_donation_count,confirmed_monetary_value,led_to_donation
LinkedIn,Thursday,14,EventPromotion,Video,0,0,False,None,AwarenessRaising,Urgent,108,False,None,True,0.0,22.312247007672024,19.680525963620948,222,91,68,32,51,4774.0,0.0744,65,0,0.0,496,0.0,0.0,0.0,0.0,3,0,0,0.0,0
Facebook,Thursday,23,EventPromotion,Text,1,2,True,ShareStory,EventRecap,Celebratory,123,False,None,False,0.0,17.99195553974407,15.406401163007857,163,37,33,16,54,0.0,0.1114,66,0,0.0,2489,0.0,0.0,0.0,0.0,3,0,0,0.0,0
TikTok,Sunday,19,FundraisingAppeal,Carousel,2,1,True,SignUp,SafehouseLife,Celebratory,136,False,None,True,0.0,26.96746178304287,23.55659478380917,2915,934,714,551,1000,0.0,0.2052,1534,63,294622.66,916,0.0,0.0,0.0,0.0,3,1,3,0.0,1
LinkedIn,Monday,11,ThankYou,Photo,3,0,False,None,SafehouseLife,Informative,129,False,None,True,0.0,24.93697531060197,21.112814554379156,510,158,71,53,113,0.0,0.0952,235,0,0.0,463,0.0,0.0,0.0,0.0,3,0,0,0.0,0
LinkedIn,Tuesday,12,ImpactStory,Text,1,3,False,None,DonorImpact,Hopeful,209,True,None,False,0.0,18.322644028053922,15.646595915512764,174,71,84,19,19,0.0,0.1288,60,19,152237.58,496,0.0,0.0,0.0,0.0,3,0,1,571.69,1
YouTube,Wednesday,8,EventPromotion,Video,3,0,True,LearnMore,SafehouseLife,Urgent,118,False,None,False,0.0,17.44059156146065,15.562093126726248,86,24,29,12,78,1970.0,0.0822,37,0,0.0,620,92590.0,47.0,220.0,0.0,3,0,0,0.0,0
Instagram,Saturday,12,EducationalContent,Video,3,1,True,DonateNow,Education,Celebratory,142,False,None,False,0.0,25.29916289153678,22.882028093638144,1860,389,325,156,331,10839.0,0.219,489,5,7928.52,1796,0.0,0.0,0.0,0.0,3,1,1,1420.95,1
YouTube,Monday,19,EducationalContent,Video,2,0,False,None,DonorImpact,Informative,148,False,None,True,0.0,26.96746178304287,23.55659478380917,905,242,155,93,254,16232.0,0.0505,272,2,9174.75,572,1217400.0,75.0,221.0,0.0,3,0,0,0.0,0
Instagram,Tuesday,9,ImpactStory,Video,2,0,True,LearnMore,Gratitude,Informative,117,True,None,False,0.0,24.72556576541789,22.384407955432035,194,64,162,31,261,12954.0,0.0426,154,19,39821.44,1782,0.0,0.0,0.0,0.0,3,0,1,774.61,1
Facebook,Tuesday,20,FundraisingAppeal,Video,4,1,True,SignUp,Reintegration,Hopeful,138,False,None,False,0.0,19.126944439409332,17.0107272622688,219,108,67,25,88,3014.0,0.15,108,8,15857.8,2479,0.0,0.0,0.0,0.0,3,0,0,0.0,0
Twitter,Friday,10,Campaign,Photo,0,3,True,DonateNow,Education,Urgent,175,False,None,False,0.0,14.079213400711899,12.478382100493823,108,31,19,8,23,0.0,0.1704,23,2,3205.8,1228,0.0,0.0,0.0,0.0,3,0,0,0.0,0
YouTube,Saturday,12,EducationalContent,Video,1,0,False,None,Health,Hopeful,141,False,None,False,0.0,18.04157439778472,15.231111737596972,83,19,13,9,27,1826.0,0.0621,24,0,0.0,620,365200.0,200.0,222.0,0.0,3,1,0,0.0,0
Facebook,Tuesday,19,ImpactStory,Video,1,1,False,None,Gratitude,Celebratory,147,True,None,False,0.0,22.40809905993273,19.086760046612913,886,121,275,44,46,3708.0,0.1675,237,63,263493.68,2479,0.0,0.0,0.0,0.0,3,0,0,0.0,0
LinkedIn,Friday,11,Campaign,Video,1,0,True,ShareStory,Gratitude,Informative,178,False,None,False,0.0,21.244769218132948,18.798600677832873,324,113,45,34,126,3820.0,0.094,89,5,15903.94,463,0.0,0.0,0.0,0.0,3,0,0,0.0,0
YouTube,Friday,14,EventPromotion,Video,4,1,False,None,SafehouseLife,Emotional,136,False,None,False,0.0,22.272305815554137,19.124245215733975,527,142,138,67,44,5796.0,0.1753,318,2,1878.65,572,1559124.0,269.0,224.0,0.0,3,0,0,0.0,0
WhatsApp,Friday,19,ImpactStory,Photo,0,0,False,None,SafehouseLife,Hopeful,209,True,None,False,0.0,19.142090478468884,17.32896178682711,350,102,173,33,45,0.0,0.1319,88,95,384405.63,1522,0.0,0.0,0.0,339.0,3,0,0,0.0,0
LinkedIn,Saturday,14,ThankYou,Video,2,1,False,None,Reintegration,Urgent,120,False,None,False,0.0,17.63257839675381,15.977969898178616,135,42,26,11,22,3145.0,0.0729,36,0,0.0,463,0.0,0.0,0.0,0.0,4,1,0,0.0,0
Facebook,Sunday,16,EventPromotion,Photo,2,1,False,None,AwarenessRaising,Hopeful,135,False,None,True,0.0,16.766374216206163,14.619731990668653,56,18,12,6,21,0.0,0.0538,19,0,0.0,2479,0.0,0.0,0.0,0.0,4,1,0,0.0,0
Twitter,Monday,8,FundraisingAppeal,Photo,3,0,True,SignUp,DonorImpact,Informative,155,False,None,True,0.0,26.96746178304287,23.55659478380917,929,505,196,205,647,0.0,0.1222,462,38,124862.73,1228,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Instagram,Tuesday,1,FundraisingAppeal,Photo,0,3,True,SignUp,Gratitude,Urgent,144,False,None,False,0.0,10.070313163555316,8.640629590508354,3,1,1,0,6,0.0,0.0297,0,0,0.0,1267,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Instagram,Tuesday,13,Campaign,Video,3,0,True,ShareStory,CampaignLaunch,Urgent,172,False,Summer of Safety,False,0.0,21.922079403239454,19.049010567957023,701,263,227,79,171,4691.0,0.2058,200,17,41656.04,1782,0.0,0.0,0.0,0.0,4,0,0,0.0,0
LinkedIn,Friday,11,ThankYou,Photo,3,3,True,ShareStory,CampaignLaunch,Emotional,75,False,Summer of Safety,False,0.0,15.88908612990143,14.129040043448507,100,33,35,13,47,0.0,0.1698,51,0,0.0,496,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Instagram,Friday,13,ImpactStory,Carousel,2,0,True,SignUp,DonorImpact,Emotional,138,True,Summer of Safety,False,0.0,25.248297379254755,21.37500376225745,730,311,486,124,298,0.0,0.1771,525,145,717543.3,1782,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Twitter,Saturday,8,ImpactStory,Video,2,0,True,ShareStory,AwarenessRaising,Celebratory,155,False,None,False,0.0,22.48173475833491,19.81374494503135,1519,212,153,86,203,6307.0,0.25,283,15,62020.44,1222,0.0,0.0,0.0,0.0,4,1,0,0.0,0
LinkedIn,Saturday,15,ImpactStory,Photo,3,0,False,None,Reintegration,Urgent,106,True,None,False,0.0,14.995687447478309,13.639597010962184,38,22,19,6,12,0.0,0.0716,21,4,9911.56,463,0.0,0.0,0.0,0.0,4,1,0,0.0,0
Facebook,Monday,11,ThankYou,Text,3,3,False,None,SafehouseLife,Informative,139,False,None,False,0.0,16.184458661337658,13.873789706422583,50,21,9,7,20,0.0,0.0641,13,0,0.0,2479,0.0,0.0,0.0,0.0,4,0,0,0.0,0
TikTok,Tuesday,19,ImpactStory,Text,3,0,False,None,EventRecap,Emotional,116,True,Summer of Safety,False,0.0,17.91664489267455,15.224051310928127,213,30,109,21,22,0.0,0.1469,76,25,74959.83,917,0.0,0.0,0.0,0.0,4,0,0,0.0,0
WhatsApp,Tuesday,22,ImpactStory,Carousel,0,0,True,ShareStory,SafehouseLife,Grateful,148,True,None,False,0.0,18.335806352390183,15.49601586612756,64,10,36,10,81,0.0,0.058,23,19,50224.1,1543,0.0,0.0,0.0,55.0,4,0,0,0.0,0
Twitter,Wednesday,16,ThankYou,Video,2,1,True,LearnMore,DonorImpact,Hopeful,118,False,None,False,0.0,21.001397855828234,18.723184765439452,440,75,70,35,183,3479.0,0.136,86,1,866.89,1228,0.0,0.0,0.0,0.0,4,0,0,0.0,0
TikTok,Thursday,17,ThankYou,Carousel,3,0,False,None,Health,Hopeful,129,False,None,True,0.0,24.938458643467733,22.54210445245433,406,67,59,47,136,0.0,0.0484,93,0,0.0,916,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Twitter,Friday,8,ImpactStory,Photo,2,2,False,None,Health,Urgent,142,True,None,False,0.0,24.791546119695138,21.634148550274347,701,221,443,86,101,0.0,0.1548,367,35,85463.02,1228,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Facebook,Saturday,8,FundraisingAppeal,Photo,3,0,True,ShareStory,Education,Celebratory,143,False,None,False,0.0,21.315383623766333,18.37589480416586,301,75,65,25,140,0.0,0.1011,96,6,17452.08,2479,0.0,0.0,0.0,0.0,4,1,0,0.0,0
Facebook,Saturday,20,ThankYou,Video,2,0,True,LearnMore,AwarenessRaising,Informative,106,False,Summer of Safety,False,0.0,17.444052036987394,14.853521584294958,93,50,23,15,63,1843.0,0.1048,63,0,0.0,2489,0.0,0.0,0.0,0.0,4,1,0,0.0,0
WhatsApp,Monday,16,EventPromotion,Video,0,2,True,LearnMore,CampaignLaunch,Urgent,130,False,Summer of Safety,False,0.0,12.377340447396957,10.459770231581704,16,7,7,1,15,381.0,0.0794,6,0,0.0,1517,0.0,0.0,0.0,16.0,4,0,0,0.0,0
Twitter,Tuesday,15,Campaign,Text,1,3,True,LearnMore,CampaignLaunch,Emotional,145,False,Summer of Safety,False,0.0,16.575092479294014,14.421038773250364,126,23,27,9,65,0.0,0.1097,56,5,4285.53,1228,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Instagram,Tuesday,17,EducationalContent,Carousel,3,2,False,None,DonorImpact,Grateful,220,False,None,False,0.0,19.775497352314687,17.622349443460436,127,32,20,19,39,0.0,0.0576,67,0,0.0,1782,0.0,0.0,0.0,0.0,4,0,0,0.0,0
YouTube,Sunday,12,EventPromotion,Reel,0,0,True,LearnMore,Gratitude,Informative,114,False,Summer of Safety,False,0.0,24.73830389181993,22.33416255043357,429,123,87,46,286,9265.0,0.0578,105,2,9448.41,620,1908590.0,206.0,231.0,0.0,4,1,0,0.0,0
Instagram,Monday,14,FundraisingAppeal,Photo,5,2,True,SignUp,DonorImpact,Emotional,143,False,Summer of Safety,False,0.0,19.365689618579484,17.426213424206715,279,69,112,43,118,0.0,0.173,95,26,26770.73,1833,0.0,0.0,0.0,0.0,4,0,0,0.0,0
YouTube,Thursday,1,ThankYou,Video,2,0,True,LearnMore,SafehouseLife,Hopeful,110,False,Summer of Safety,False,0.0,14.42205355426916,12.857373212337908,21,3,5,1,29,1083.0,0.0353,12,0,0.0,620,17328.0,16.0,232.0,0.0,4,0,0,0.0,0
Instagram,Thursday,19,FundraisingAppeal,Photo,1,0,True,DonateNow,SafehouseLife,Urgent,144,False,None,False,0.0,17.749687683001227,15.583909017081012,239,112,58,26,68,0.0,0.2001,152,12,23100.14,1782,0.0,0.0,0.0,0.0,4,0,0,0.0,0
Facebook,Saturday,5,EventPromotion,Photo,4,2,True,DonateNow,DonorImpact,Emotional,112,False,Summer of Safety,False,0.0,15.177498157394016,13.127436041278301,16,5,7,2,35,0.0,0.0344,10,0,0.0,2489,0.0,0.0,0.0,0.0,4,1,0,0.0,0
Facebook,Sunday,19,Campaign,Photo,3,3,True,DonateNow,Health,Urgent,125,False,None,True,0.0,26.96746178304287,23.55659478380917,1885,685,395,181,618,0.0,0.1483,464,39,163564.37,2479,0.0,0.0,0.0,0.0,4,1,1,395.88,1
YouTube,Sunday,22,EventPromotion,Video,4,1,True,DonateNow,SafehouseLife,Informative,132,False,Summer of Safety,True,0.0,22.476708696159594,19.22573763419071,121,45,20,16,199,3763.0,0.0377,26,0,0.0,620,293514.0,78.0,233.0,0.0,4,1,0,0.0,0
Instagram,Monday,20,Campaign,Photo,1,1,True,LearnMore,Gratitude,Informative,178,False,None,False,0.0,19.0825311266358,16.934397169295057,246,79,34,21,133,0.0,0.1042,90,1,1677.25,1782,0.0,0.0,0.0,0.0,5,0,0,0.0,0
Facebook,Monday,21,Campaign,Video,3,0,True,DonateNow,CampaignLaunch,Grateful,137,False,None,False,0.0,19.66173163679601,16.914716239514043,183,28,21,17,97,2449.0,0.0806,63,1,4772.83,2423,0.0,0.0,0.0,0.0,5,0,0,0.0,0
Twitter,Wednesday,10,Campaign,Carousel,3,1,True,ShareStory,Gratitude,Grateful,139,False,Summer of Safety,False,0.0,22.90107921571231,19.435267310690204,573,120,92,65,256,0.0,0.1383,186,9,22160.15,1228,0.0,0.0,0.0,0.0,5,0,0,0.0,0
Instagram,Thursday,16,Campaign,Photo,1,2,True,SignUp,EventRecap,Hopeful,149,False,None,False,0.0,16.632235089928354,14.367057435752928,52,26,17,6,55,0.0,0.0741,39,2,3936.2,1782,0.0,0.0,0.0,0.0,5,0,0,0.0,0
Instagram,Friday,20,ImpactStory,Text,5,0,True,SignUp,SafehouseLife,Informative,160,True,Summer of Safety,True,0.0,24.586975671716317,22.003706675459348,639,130,250,55,244,0.0,0.0849,263,86,110254.23,1782,0.0,0.0,0.0,0.0,5,0,2,413.2,1
LinkedIn,Saturday,14,ImpactStory,Carousel,2,0,False,None,Health,Emotional,121,True,Summer of Safety,False,0.0,18.364941159159084,16.616518970180778,95,25,63,21,40,0.0,0.0769,66,13,166857.83,463,0.0,0.0,0.0,0.0,5,1,0,0.0,0
Instagram,Saturday,20,Campaign,Text,3,0,True,DonateNow,Education,Grateful,144,False,Summer of Safety,False,0.0,22.33506189845921,18.946285534328283,454,57,67,42,173,0.0,0.1359,120,7,30120.32,1833,0.0,0.0,0.0,0.0,5,1,0,0.0,0
Facebook,Tuesday,3,FundraisingAppeal,Photo,4,0,True,ShareStory,Reintegration,Emotional,157,False,Summer of Safety,False,0.0,12.645498425092145,11.119670372798144,14,3,2,1,25,0.0,0.0342,6,0,0.0,2423,0.0,0.0,0.0,0.0,5,0,0,0.0,0
WhatsApp,Thursday,7,EducationalContent,Photo,0,2,True,DonateNow,Health,Emotional,129,False,Summer of Safety,False,0.0,13.827538670044632,11.967018491285193,34,5,11,3,30,0.0,0.077,8,0,0.0,1543,0.0,0.0,0.0,24.0,5,0,0,0.0,0
WhatsApp,Friday,21,Campaign,Reel,0,0,True,ShareStory,Reintegration,Hopeful,173,False,None,False,0.0,17.541716708233217,15.51593929750291,137,35,36,19,91,3050.0,0.1285,86,11,44268.06,1543,0.0,0.0,0.0,96.0,5,0,0,0.0,0
Facebook,Saturday,4,FundraisingAppeal,Video,2,1,True,SignUp,Education,Celebratory,199,False,None,False,0.0,18.62170111014216,16.061188985623204,100,10,11,5,90,2657.0,0.043,18,1,1946.54,2489,0.0,0.0,0.0,0.0,5,1,0,0.0,0
WhatsApp,Tuesday,18,ImpactStory,Photo,0,1,False,None,Reintegration,Informative,121,True,Summer of Safety,True,0.0,23.8877928357873,21.63551509857889,331,106,129,46,100,0.0,0.0687,209,109,87912.57,1543,0.0,0.0,0.0,304.0,5,0,1,1757.44,1
Twitter,Thursday,18,ThankYou,Text,3,0,True,ShareStory,DonorImpact,Grateful,116,False,Summer of Safety,False,0.0,13.099428136343295,11.145498521892515,38,13,6,4,20,0.0,0.118,14,0,0.0,1228,0.0,0.0,0.0,0.0,5,0,0,0.0,0
TikTok,Friday,13,FundraisingAppeal,Reel,2,2,True,SignUp,Education,Hopeful,197,False,None,False,0.0,16.058434173867376,13.553911785654957,50,14,11,5,52,1877.0,0.0705,30,1,1517.09,930,0.0,0.0,0.0,0.0,5,0,0,0.0,0
Facebook,Sunday,10,FundraisingAppeal,Video,2,0,True,SignUp,Reintegration,Grateful,143,False,Summer of Safety,True,0.0,20.785695320827315,18.242612957678713,325,82,51,31,179,5397.0,0.1047,156,11,42151.09,2489,0.0,0.0,0.0,0.0,5,1,0,0.0,0
Twitter,Friday,9,ImpactStory,Reel,2,0,False,None,DonorImpact,Hopeful,151,True,Summer of Safety,False,0.0,20.749606782683067,17.609509387622783,245,99,107,33,45,5621.0,0.1239,84,16,11727.79,1222,0.0,0.0,0.0,0.0,5,0,0,0.0,0
Twitter,Friday,13,EducationalContent,Video,3,0,False,None,Health,Hopeful,169,False,Summer of Safety,False,0.0,18.1181879488175,15.431221118376026,94,29,20,9,23,2531.0,0.067,20,0,0.0,1222,0.0,0.0,0.0,0.0,5,0,0,0.0,0
